JJJJ MM DD HH MM T2m T30m TF2m TF30m V DIR N GLOB DIFF SON P
2018 12 1 2 43 5.23 5.17 5.16 5.17 2.23 248.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 44 5.24 5.17 5.17 5.17 2.80 253.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 45 5.23 5.17 5.17 5.17 2.90 256.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 46 5.24 5.17 5.17 5.17 2.22 254.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 47 5.25 5.17 5.18 5.17 2.80 231.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 48 5.26 5.17 5.19 5.17 3.22 256.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 49 5.26 5.17 5.19 5.17 2.97 251.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 50 5.25 5.17 5.18 5.17 2.62 238.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 51 5.27 5.18 5.19 5.18 2.75 220.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 52 5.27 5.18 5.19 5.18 3.44 252.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 53 5.27 5.18 5.19 5.18 3.20 260.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 54 5.27 5.19 5.18 5.19 2.62 266.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 55 5.26 5.19 5.18 5.19 3.75 259.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 56 5.27 5.19 5.19 5.19 2.96 262.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 57 5.29 5.20 5.21 5.20 2.57 237.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 58 5.29 5.20 5.22 5.20 2.29 256.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 2 59 5.30 5.19 5.21 5.19 2.74 246.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 0 5.30 5.20 5.21 5.20 3.45 250.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 1 5.28 5.20 5.19 5.20 2.44 250.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 2 5.29 5.21 5.20 5.21 2.92 243.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 3 5.29 5.20 5.20 5.20 3.06 265.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 4 5.29 5.21 5.20 5.21 3.11 265.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 5 5.29 5.21 5.20 5.21 3.25 249.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 6 5.29 5.21 5.20 5.21 3.76 259.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 7 5.30 5.21 5.20 5.21 2.86 248.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 8 5.31 5.22 5.21 5.22 2.11 250.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 9 5.30 5.21 5.21 5.21 2.07 252.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 10 5.30 5.22 5.21 5.22 1.98 258.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 11 5.30 5.22 5.21 5.22 1.74 262.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 12 5.29 5.21 5.20 5.21 2.75 246.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 13 5.29 5.22 5.20 5.22 2.30 250.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 14 5.29 5.22 5.21 5.22 2.05 266.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 15 5.29 5.21 5.21 5.21 3.44 248.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 16 5.30 5.22 5.22 5.22 3.11 247.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 17 5.29 5.23 5.21 5.23 3.21 244.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 18 5.30 5.23 5.20 5.23 2.58 240.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 19 5.30 5.23 5.20 5.23 2.42 239.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 20 5.30 5.23 5.20 5.23 2.39 241.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 21 5.30 5.22 5.20 5.22 2.52 238.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 22 5.29 5.23 5.19 5.23 2.33 235.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 23 5.28 5.23 5.19 5.23 2.54 241.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 24 5.27 5.23 5.17 5.23 2.50 242.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 25 5.28 5.23 5.19 5.23 2.23 243.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 26 5.28 5.23 5.19 5.23 1.98 230.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 27 5.27 5.23 5.18 5.23 1.49 234.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 28 5.27 5.24 5.18 5.24 2.46 249.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 29 5.28 5.23 5.19 5.23 2.36 246.0 0.000 0.00 0.00 0.00 957.3
2018 12 1 3 30 5.27 5.26 5.18 5.26 1.52 237.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 31 5.27 5.24 5.18 5.24 2.67 248.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 32 5.27 5.23 5.17 5.23 2.22 242.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 33 5.27 5.23 5.18 5.23 1.93 259.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 34 5.28 5.22 5.19 5.22 2.40 245.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 35 5.27 5.22 5.17 5.22 2.90 255.0 0.000 0.00 0.00 0.00 957.2
2018 12 1 3 36 5.27 5.22 5.17 5.22 2.59 271.0 0.000 0.00 0.00 0.00 957.2
